First,Last,01/01/2000,8/12/2020,CareUser,M,
('7', 'micha6_001', '2695', 'LWR2', '1', '3.082', '2', 'LWR_pic_3-01', '2020/8/12 17:47:40')
('7', 'micha6_001', '2695', 'LWR4', '1', '1.23', '2', 'LWR_pic_5-01', '2020/8/12 17:47:40')
('7', 'micha6_001', '2695', 'LWR1', '1', '0.937', '3', 'LWR_pic_2-02', '2020/8/12 17:47:40')
('7', 'micha6_001', '2695', 'LWR3.2', '1', '0.831', '4', 'LWR_pic_4-01', '2020/8/12 17:47:40')
('7', 'micha6_001', '2695', 'LWR11', '1', '1.544', '1', 'LWR_pic_12-01', '2020/8/12 17:47:40')
('7', 'micha6_001', '2695', 'LWR12.2', '1', '0.97', '4', 'LWR_pic_13-01', '2020/8/12 17:47:40')
('7', 'micha6_001', '2695', 'LWR8.2', '1', '0.759', '4', 'LWR_pic_9-01', '2020/8/12 17:47:40')
('7', 'micha6_001', '2695', 'LWR22', '0', '0.771', '4', 'LWR_pic_23-04', '2020/8/12 17:47:40')
('7', 'micha6_001', '2695', 'LWR10', '0', '0.58', '4', 'LWR_pic_11-04', '2020/8/12 17:47:40')
('7', 'micha6_001', '2695', 'LWR17', '0', '0.731', '4', 'LWR_pic_18-04', '2020/8/12 17:47:40')
('7', 'micha6_001', '2695', 'LWR19', '1', '0.6', '4', 'LWR_pic_20-01', '2020/8/12 17:47:40')
('7', 'micha6_001', '2695', 'LWR20', '1', '0.578', '4', 'LWR_pic_21-01', '2020/8/12 17:47:40')
('7', 'micha6_001', '2695', 'LWR7', '1', '0.672', '4', 'LWR_pic_8-01', '2020/8/12 17:47:40')
('7', 'micha6_001', '2695', 'LWR28', '0', '0.678', '4', 'LWR_pic_29-04', '2020/8/12 17:47:40')
