First,Last,01/01/2000,8/12/2020,CareUser,M,
('5', 'micha6_002', '2701', 'LSSIa4', '1', '1.659', '6', 'd','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa10', '1', '1.096', '7', 'o','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa16', '1', '1.431', '3', 'z','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa12', '1', '1.644', '1', 'e','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa7', '1', '16.05', '1', 't','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa17', '1', '0.755', '6', 'g','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa8', '1', '0.649', '7', 's','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa21', '1', '0.721', '4', 'l','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa20', '1', '1.342', '1', 'j','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa6', '1', '1.099', '7', 'k','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa19', '1', '0.895', '5', 'c','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa3', '1', '0.798', '4', 'w','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa9', '1', '0.894', '2', 'i','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa22', '1', '0.662', '3', 'r','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa14', '1', '0.808', '3', 'u','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa2', '1', '0.945', '3', 'v','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa11', '1', '0.956', '4', 'h','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa18', '1', '1.857', '7', 'y','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa13', '1', '1.629', '1', 'm','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa5', '1', '0.989', '4', 'f','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa15', '1', '2.17', '6', 'p','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIa1', '1', '5.092', '2', 'n','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb2', '1', '0.929', '1', 'sh','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb3', '1', '1.002', '1', 'ch','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb13', '1', '0.928', '1', 'oo','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb10', '1', '0.596', '2', 'ay','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb1', '1', '0.96', '4', 'th','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb12', '1', '0.821', '1', 'ow','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb19', '1', '0.779', '2', 'oy','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb8', '1', '0.564', '2', 'ur','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb15', '1', '0.612', '2', 'igh','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb5', '1', '1.374', '4', 'ph','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb6', '1', '1.397', '1', 'ou','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb27', '1', '0.981', '1', 'ough','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb20', '1', '0.864', '2', 'ey','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb4', '1', '1.11', '3', 'ea','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb25', '1', '0.923', '1', 'tch','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb22', '1', '7.743', '2', 'ou','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb28', '1', '3.114', '2', 'ou','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb26', '1', '1.148', '4', 'ea','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb16', '1', '1.814', '1', 'aw','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb18', '1', '0.816', '1', 'wr','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb7', '1', '0.859', '3', 'ai','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb14', '1', '4.116', '4', 'oi','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb17', '1', '2.16', '4', 'ew','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb11', '1', '1.753', '3', 'oa','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb24', '1', '1.125', '3', 'eigh','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb21', '1', '1.681', '4', 'are','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb23', '1', '2.145', '4', 'ue','2020-08-12')
('5', 'micha6_002', '2701', 'LSSIb9', '0', '1.983', '4', 'oe','2020-08-12')
