First,Last,01/01/2000,8/13/2020,CareUser,M,
('9', 'micha6_001', '2703', 'LWR2', '1', '2.117', '2', 'LWR_pic_3-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR4', '1', '2.508', '2', 'LWR_pic_5-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR1', '1', '1.217', '3', 'LWR_pic_2-02', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR3.2', '1', '0.961', '4', 'LWR_pic_4-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR11', '1', '1.631', '1', 'LWR_pic_12-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR12.2', '1', '1.568', '4', 'LWR_pic_13-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR8.2', '1', '1.802', '4', 'LWR_pic_9-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR22', '1', '1.91', '2', 'LWR_pic_23-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR10', '1', '1.266', '3', 'LWR_pic_11-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR17', '1', '1.569', '1', 'LWR_pic_18-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR19', '1', '1.326', '4', 'LWR_pic_20-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR20', '1', '1.423', '4', 'LWR_pic_21-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR7', '1', '1.448', '4', 'LWR_pic_8-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR28', '1', '1.763', '2', 'LWR_pic_29-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR24', '1', '1.598', '1', 'LWR_pic_25-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR18', '1', '1.372', '2', 'LWR_pic_19-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR14', '1', '1.371', '2', 'LWR_pic_15-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR13', '1', '1.713', '1', 'LWR_pic_14-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR44', '1', '1.839', '1', 'LWR_pic_44-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR6', '1', '1.448', '3', 'LWR_pic_7-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR25', '1', '2.681', '3', 'LWR_pic_26-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR49', '1', '1.781', '2', 'LWR_pic_49-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR61', '1', '1.391', '3', 'LWR_pic_62-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR40', '1', '1.467', '2', 'LWR_pic_40-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR5', '1', '1.839', '1', 'LWR_pic_6-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR43', '1', '1.364', '3', 'LWR_pic_43-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR57', '1', '2.249', '2', 'LWR_pic_58-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR66', '1', '1.525', '2', 'LWR_pic_67-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR39', '1', '1.509', '2', 'LWR_pic_39-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR47', '1', '2.062', '3', 'LWR_pic_47-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR15', '1', '1.34', '3', 'LWR_pic_16-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR9', '1', '1.54', '2', 'LWR_pic_10-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR64', '1', '1.171', '4', 'LWR_pic_65-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR46', '1', '1.245', '4', 'LWR_pic_46-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR62', '1', '1.495', '2', 'LWR_pic_63-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR29', '1', '1.459', '3', 'LWR_pic_30-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR32', '1', '1.451', '3', 'LWR_pic_33-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR71', '1', '1.896', '1', 'LWR_pic_72-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR41', '1', '1.609', '3', 'LWR_pic_41-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR35', '1', '1.78', '4', 'LWR_pic_36-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR37', '1', '2.107', '3', 'LWR_pic_57-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR30', '1', '1.251', '4', 'LWR_pic_31-01', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR21', '0', '1.419', '3', 'LWR_pic_22-03', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR50', '0', '1.469', '3', 'LWR_pic_50-03', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR33', '0', '1.104', '3', 'LWR_pic_34-03', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR26', '0', '1.23', '3', 'LWR_pic_27-03', '2020-08-13')
('9', 'micha6_001', '2703', 'LWR54', '0', '1.443', '3', 'LWR_pic_54-04', '2020-08-13')
