First,Last,01/01/2000,8/12/2020,CareUser,M,
('7', 'micha6_002', '2701', 'SI1', '1', '1.21', '2', 'SI_pic_1-01', '2020-08-12')
('7', 'micha6_002', '2701', 'SI5', '1', '1.283', '2', 'SI_pic_5-01', '2020-08-12')
('7', 'micha6_002', '2701', 'SI2', '1', '1.467', '1', 'SI_pic_2-01', '2020-08-12')
('7', 'micha6_002', '2701', 'SI6', '1', '2.262', '1', 'SI_pic_6-01', '2020-08-12')
('7', 'micha6_002', '2701', 'SI7.2', '1', '1.263', '3', 'SI_pic_7-1', '2020-08-12')
('7', 'micha6_002', '2701', 'SI4.2', '1', '1.178', '3', 'SI_pic_4-01', '2020-08-12')
('7', 'micha6_002', '2701', 'SI12', '1', '1.062', '2', 'SI_pic_12-01', '2020-08-12')
('7', 'micha6_002', '2701', 'SI8', '1', '1.762', '1', 'SI_pic_8-01', '2020-08-12')
('7', 'micha6_002', '2701', 'SI9.2', '1', '1.16', '2', 'SI_pic_9-01', '2020-08-12')
('7', 'micha6_002', '2701', 'SI11', '1', '5.092', '1', 'SI_pic_11-01', '2020-08-12')
('7', 'micha6_002', '2701', 'SI15', '1', '1.703', '4', 'SI_pic_15-01', '2020-08-12')
('7', 'micha6_002', '2701', 'SI3', '0', '0.864', '4', 'SI_pic_3-04', '2020-08-12')
('7', 'micha6_002', '2701', 'SI16', '0', '0.608', '4', 'SI_pic_16-04', '2020-08-12')
('7', 'micha6_002', '2701', 'SI10', '0', '0.941', '4', 'SI_pic_10-04', '2020-08-12')
('7', 'micha6_002', '2701', 'SI17', '0', '0.664', '4', 'SI_pic_17-04', '2020-08-12')
