First,Last,01/01/2000,8/12/2020,CareUser,M,
('9', 'micha6_001', '2699', 'LWR2', '1', '1.386', '2', 'LWR_pic_3-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR4', '1', '0.944', '2', 'LWR_pic_5-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR1', '1', '0.827', '3', 'LWR_pic_2-02', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR3.2', '1', '0.862', '4', 'LWR_pic_4-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR11', '1', '1.117', '1', 'LWR_pic_12-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR12.2', '1', '0.91', '4', 'LWR_pic_13-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR8.2', '1', '1.149', '4', 'LWR_pic_9-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR22', '1', '0.904', '2', 'LWR_pic_23-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR10', '1', '1.026', '3', 'LWR_pic_11-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR17', '1', '1.518', '1', 'LWR_pic_18-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR19', '1', '0.589', '4', 'LWR_pic_20-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR20', '1', '0.596', '4', 'LWR_pic_21-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR7', '1', '0.621', '4', 'LWR_pic_8-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR28', '1', '1.153', '2', 'LWR_pic_29-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR24', '1', '1.257', '1', 'LWR_pic_25-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR18', '1', '1.069', '2', 'LWR_pic_19-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR14', '1', '1.026', '2', 'LWR_pic_15-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR13', '1', '1.436', '1', 'LWR_pic_14-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR44', '1', '1.423', '1', 'LWR_pic_44-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR6', '1', '0.967', '3', 'LWR_pic_7-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR25', '1', '0.926', '3', 'LWR_pic_26-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR49', '1', '1.163', '2', 'LWR_pic_49-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR61', '1', '0.889', '3', 'LWR_pic_62-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR40', '1', '1.143', '2', 'LWR_pic_40-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR5', '1', '1.379', '1', 'LWR_pic_6-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR43', '1', '1.141', '3', 'LWR_pic_43-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR57', '1', '1.133', '2', 'LWR_pic_58-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR66', '1', '1.227', '2', 'LWR_pic_67-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR39', '1', '1.503', '2', 'LWR_pic_39-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR47', '1', '0.853', '3', 'LWR_pic_47-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR15', '1', '0.943', '3', 'LWR_pic_16-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR9', '1', '1.008', '2', 'LWR_pic_10-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR64', '1', '0.96', '4', 'LWR_pic_65-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR46', '1', '1.066', '4', 'LWR_pic_46-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR62', '1', '1.059', '2', 'LWR_pic_63-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR29', '1', '0.977', '3', 'LWR_pic_30-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR32', '1', '1.089', '3', 'LWR_pic_33-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR71', '1', '1.225', '1', 'LWR_pic_72-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR41', '1', '0.887', '3', 'LWR_pic_41-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR35', '1', '1.171', '4', 'LWR_pic_36-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR37', '1', '0.927', '3', 'LWR_pic_57-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR30', '1', '0.902', '4', 'LWR_pic_31-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR21', '1', '1.309', '1', 'LWR_pic_22-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR50', '1', '1.328', '1', 'LWR_pic_50-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR33', '1', '1.705', '1', 'LWR_pic_34-02', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR26', '1', '1.093', '2', 'LWR_pic_27-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR54', '1', '1.276', '4', 'LWR_pic_54-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR55', '1', '1.277', '1', 'LWR_pic_55-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR16', '1', '4.743', '3', 'LWR_pic_17-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR38', '1', '1.074', '3', 'LWR_pic_38-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR34', '1', '2.193', '2', 'LWR_pic_35-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR52', '1', '0.823', '3', 'LWR_pic_52-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR23', '1', '1.112', '3', 'LWR_pic_24-01', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR65', '0', '0.928', '4', 'LWR_pic_66-04', '2020-08-12')
('9', 'micha6_001', '2699', 'LWR53', '0', '0.563', '4', 'LWR_pic_53-04', '2020-08-12')
