First,Last,01/01/2000,8/14/2020,CareUser,M,
('7', 'micha6_001', '2705', 'SI1', '1', '2.486', '2', 'SI_pic_1-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI5', '1', '1.814', '2', 'SI_pic_5-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI2', '1', '2.152', '1', 'SI_pic_2-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI6', '1', '2.783', '1', 'SI_pic_6-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI7.2', '1', '1.957', '3', 'SI_pic_7-1', '2020-08-14')
('7', 'micha6_001', '2705', 'SI4.2', '1', '1.773', '3', 'SI_pic_4-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI12', '1', '1.789', '2', 'SI_pic_12-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI8', '1', '2.866', '1', 'SI_pic_8-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI9.2', '1', '1.824', '2', 'SI_pic_9-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI11', '1', '2.634', '1', 'SI_pic_11-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI15', '1', '1.194', '4', 'SI_pic_15-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI3', '1', '3.349', '2', 'SI_pic_3-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI16', '1', '2.932', '3', 'SI_pic_16-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI10', '0', '3.017', '1', 'SI_pic_10-02', '2020-08-14')
('7', 'micha6_001', '2705', 'SI17', '1', '4.259', '2', 'SI_pic_17-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI14.2', '1', '4.406', '2', 'SI_pic_14-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI23', '1', '8.607', '3', 'SI_pic_24-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI22', '1', '7.105', '2', 'SI_pic_22-03', '2020-08-14')
('7', 'micha6_001', '2705', 'SI24', '1', '12.673', '1', 'SI_pic_25-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI13', '1', '5.218', '4', 'SI_pic_13-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI19', '1', '7.649', '4', 'SI_pic_19-01', '2020-08-14')
('7', 'micha6_001', '2705', 'SI21', '0', '1.988', '3', 'SI_pic_21-03', '2020-08-14')
('7', 'micha6_001', '2705', 'SI18', '0', '0.731', '4', 'SI_pic_18-04', '2020-08-14')
('7', 'micha6_001', '2705', 'SI20', '0', '1.076', '4', 'SI_pic_20-04', '2020-08-14')
