First,Last,01/01/2000,8/12/2020,CareUser,M,
('7', 'micha6_002', '2702', 'SI1', '1', '2.767', '2', 'SI_pic_1-01', '2020-08-12')
('7', 'micha6_002', '2702', 'SI5', '1', '2.742', '2', 'SI_pic_5-01', '2020-08-12')
('7', 'micha6_002', '2702', 'SI2', '1', '2.168', '1', 'SI_pic_2-01', '2020-08-12')
('7', 'micha6_002', '2702', 'SI6', '1', '1.032', '1', 'SI_pic_6-01', '2020-08-12')
('7', 'micha6_002', '2702', 'SI7.2', '1', '0.996', '3', 'SI_pic_7-1', '2020-08-12')
('7', 'micha6_002', '2702', 'SI4.2', '1', '1.041', '3', 'SI_pic_4-01', '2020-08-12')
('7', 'micha6_002', '2702', 'SI12', '1', '0.904', '2', 'SI_pic_12-01', '2020-08-12')
('7', 'micha6_002', '2702', 'SI8', '1', '0.629', '1', 'SI_pic_8-01', '2020-08-12')
('7', 'micha6_002', '2702', 'SI9.2', '1', '1.657', '2', 'SI_pic_9-01', '2020-08-12')
('7', 'micha6_002', '2702', 'SI11', '1', '1.371', '1', 'SI_pic_11-01', '2020-08-12')
('7', 'micha6_002', '2702', 'SI15', '1', '1.228', '4', 'SI_pic_15-01', '2020-08-12')
('7', 'micha6_002', '2702', 'SI3', '0', '0.632', '4', 'SI_pic_3-04', '2020-08-12')
('7', 'micha6_002', '2702', 'SI16', '0', '0.613', '4', 'SI_pic_16-04', '2020-08-12')
('7', 'micha6_002', '2702', 'SI10', '0', '0.545', '4', 'SI_pic_10-04', '2020-08-12')
('7', 'micha6_002', '2702', 'SI17', '0', '0.579', '4', 'SI_pic_17-04', '2020-08-12')
