First,Last,01/01/2000,8/12/2020,CareUser,M,
('7', 'micha6_001', '2697', 'LWR2', '1', '2.371', '2', 'LWR_pic_3-01', '2020-08-12')
('7', 'micha6_001', '2697', 'LWR4', '1', '2.109', '2', 'LWR_pic_5-01', '2020-08-12')
('7', 'micha6_001', '2697', 'LWR1', '1', '2.445', '3', 'LWR_pic_2-02', '2020-08-12')
('7', 'micha6_001', '2697', 'LWR3.2', '1', '1.197', '4', 'LWR_pic_4-01', '2020-08-12')
('7', 'micha6_001', '2697', 'LWR11', '0', '0.564', '4', 'LWR_pic_12-04', '2020-08-12')
('7', 'micha6_001', '2697', 'LWR12.2', '1', '0.613', '4', 'LWR_pic_13-01', '2020-08-12')
('7', 'micha6_001', '2697', 'LWR8.2', '1', '0.629', '4', 'LWR_pic_9-01', '2020-08-12')
('7', 'micha6_001', '2697', 'LWR22', '0', '0.617', '4', 'LWR_pic_23-04', '2020-08-12')
('7', 'micha6_001', '2697', 'LWR10', '0', '0.401', '4', 'LWR_pic_11-04', '2020-08-12')
('7', 'micha6_001', '2697', 'LWR17', '0', '0.53', '4', 'LWR_pic_18-04', '2020-08-12')
('7', 'micha6_001', '2697', 'LWR19', '1', '0.447', '4', 'LWR_pic_20-01', '2020-08-12')
('7', 'micha6_001', '2697', 'LWR20', '1', '0.597', '4', 'LWR_pic_21-01', '2020-08-12')
('7', 'micha6_001', '2697', 'LWR7', '1', '0.61', '4', 'LWR_pic_8-01', '2020-08-12')
('7', 'micha6_001', '2697', 'LWR28', '0', '0.879', '4', 'LWR_pic_29-04', '2020-08-12')
