First,Last,01/01/2000,8/12/2022,CareUser,M,
('24', 'micha6_001', '5080', 'WIS1', '1', '1.676', '3', 'LWR_pic_2-02', '2022-08-12')
('24', 'micha6_001', '5080', 'WIS2', '0', '8.592', '3', 'LWR_pic_5-03', '2022-08-12')
('24', 'micha6_001', '5080', 'WIS3', '0', '11.325', '4', 'LWR_pic_3-04', '2022-08-12')
('24', 'micha6_001', '5080', 'WIS4', '0', '1.118', '4', 'LWR_pic_23-04', '2022-08-12')
('24', 'micha6_001', '5080', 'WIS5', '0', '1.327', '4', 'LWR_pic_12-04', '2022-08-12')
('24', 'micha6_001', '5080', 'WIS6', '0', '1.521', '3', 'LWR_pic_4-04', '2022-08-12')
('24', 'micha6_001', '5080', 'WIS7', '0', '2.376', '4', 'LWR_pic_44-04', '2022-08-12')
