First,Last,01/01/2000,8/14/2020,CareUser,M,
('2', 'micha6_001', '2705', 'RC1', '1', '2.601', '2', 'soda', '2020-08-14')
('2', 'micha6_001', '2705', 'RC2', '1', '3.094', '1', 'saw', '2020-08-14')
('2', 'micha6_001', '2705', 'RC3', '1', '106.705', '3', 'bed', '2020-08-14')
('2', 'micha6_001', '2705', 'RC4', '1', '2.648', '1', 'opened', '2020-08-14')
('2', 'micha6_001', '2705', 'RC5', '1', '1.507', '2', 'write', '2020-08-14')
('2', 'micha6_001', '2705', 'RC6', '1', '0', '4', 'barked', '2020-08-14')
('2', 'micha6_001', '2705', 'RC7', '0', '1.109', '3', 'hide', '2020-08-14')
('2', 'micha6_001', '2705', 'RC8', '0', '0.594', '3', 'door', '2020-08-14')
('2', 'micha6_001', '2705', 'RC9', '0', '0.644', '3', 'We', '2020-08-14')
('2', 'micha6_001', '2705', 'RC10', '1', '0.546', '3', 'Hello', '2020-08-14')
