First,Last,01/01/2000,8/12/2020,CareUser,M,
('7', 'micha6_001', '2693', 'LWR2', '1', '2.334', '2', 'LWR_pic_3-01', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR4', '1', '1.194', '2', 'LWR_pic_5-01', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR1', '1', '1.076', '3', 'LWR_pic_2-02', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR3.2', '1', '1.038', '4', 'LWR_pic_4-01', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR11', '1', '1.351', '1', 'LWR_pic_12-01', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR12.2', '1', '1.012', '4', 'LWR_pic_13-01', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR8.2', '1', '1.127', '4', 'LWR_pic_9-01', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR22', '1', '1.425', '2', 'LWR_pic_23-01', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR10', '1', '1.021', '3', 'LWR_pic_11-01', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR17', '1', '1.241', '1', 'LWR_pic_18-01', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR19', '1', '0.861', '4', 'LWR_pic_20-01', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR20', '1', '0.922', '4', 'LWR_pic_21-01', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR7', '1', '0.646', '4', 'LWR_pic_8-01', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR28', '0', '0.613', '4', 'LWR_pic_29-04', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR24', '0', '0.601', '4', 'LWR_pic_25-04', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR18', '0', '0.538', '4', 'LWR_pic_19-04', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR14', '0', '0.645', '4', 'LWR_pic_15-04', '2020/8/12 16:05:20')
('7', 'micha6_001', '2693', 'LWR13', '0', '0.579', '4', 'LWR_pic_14-04', '2020/8/12 16:05:20')
